,Hora_Ini,Hora_Ini_E,Recur,Per_hog,Turismos,Sexo,Edad,crnt_tur,Income,Income_Percentile,O_long,O_lat,D_long,D_lat,drive_tt,distance,walk_tt,transit_tt_gm,Tipo_familia,Mun_Ori,Mun_Des,prediction
0,07:00,85,99,2,2,1,5,1,27890.81,4,-1.7799963267366818,43.33937242699883,-1.8006493835778767,43.34123781984271,4.500416666666666,1800.26,28.95286666666667,5.775200000000001,2,45,69,Andando
1,15:30,187,22,2,2,2,6,2,20833.85,1,-1.7945446205370434,43.34204466057492,-1.7971521481581172,43.35981917322834,6.891883333333333,2817.219,45.51113333333333,5.5168,2,45,69,PT
2,12:00,145,22,2,3,1,5,1,25097.96,3,-1.81700243681405,43.33782637147894,-1.8328644692042204,43.32606678706591,4.6465000000000005,2293.454,38.61351666666667,10.6952,4,45,69,Car
3,19:00,229,22,2,3,2,5,1,24100.06,3,-1.8038136297524012,43.33186508887855,-1.825111510319934,43.3273038945086,4.85485,1947.681,32.605266666666665,3.726,4,45,69,Car
4,16:00,193,22,1,2,1,4,1,23828.42,3,-1.810624816509829,43.3392028492578,-1.7971521481581172,43.35981917322834,6.9191666666666665,2909.863,47.545433333333335,6.1016,3,45,69,Car
5,07:20,89,22,2,1,1,5,2,25523.66,3,-1.8071235932300305,43.33922816642382,-1.7971521481581172,43.35981917322834,6.473933333333333,2812.936,45.8281,6.7692,2,45,69,PT
6,07:20,89,22,2,3,2,4,1,25255.96,3,-1.7869570652363846,43.33708633051285,-1.7971521481581172,43.35981917322834,8.717583333333332,3555.684,57.71443333333333,8.6672,4,45,69,Car
7,08:20,101,22,1,2,1,5,1,28297.16,4,-1.8007621812303027,43.33180783205442,-1.8328644692042204,43.32606678706591,5.218416666666667,3051.669,50.611866666666664,8.8168,3,45,69,Car
8,11:30,139,22,2,2,2,5,1,23379.76,2,-1.7996102960147464,43.33758434058944,-1.7971521481581172,43.35981917322834,7.666666666666667,3154.816,48.665949999999995,7.1008,4,45,69,PT
9,15:30,187,22,2,2,2,6,2,20833.85,1,-1.8098737861314107,43.33958436245221,-1.786864359667652,43.34718262467488,4.731966666666667,2405.983,40.7491,7.958400000000001,2,45,69,PT
10,05:05,62,22,2,2,1,6,1,24718.41,3,-1.7944108070566551,43.340899847969794,-1.8078777926453204,43.32939382832081,6.0494666666666665,2419.878,32.383966666666666,6.6732000000000005,4,45,69,Car
11,08:00,97,22,2,3,1,5,1,27465.11,4,-1.7896498183525062,43.34107185315048,-1.8078777926453204,43.32939382832081,7.0023333333333335,2801.043,38.4471,6.793600000000001,4,45,69,Car
12,07:20,89,22,2,1,1,5,2,25523.66,3,-1.7925388823325954,43.34185345071765,-1.7611890914839317,43.33958462329316,6.614183333333333,3166.02,51.1235,7.824,2,45,69,PT
13,15:30,187,22,2,2,2,6,2,20833.85,1,-1.7725267518708216,43.341361739646906,-1.7922636461948351,43.36310794355133,12.397116666666667,5710.194,81.70795,9.2528,2,45,69,PT
14,17:00,205,22,2,3,1,3,1,25010.085,3,-1.784169255488577,43.33957459525132,-1.754837898587543,43.33795146741197,4.9962,2608.802,44.28143333333333,6.275600000000001,2,45,69,Car
15,12:50,155,22,2,2,2,5,1,25746.91,3,-1.803142329817108,43.33623339413603,-1.7971521481581172,43.35981917322834,8.437933333333334,3463.327,53.59603333333334,6.8348,4,45,69,PT
16,10:00,121,23,2,1,2,3,2,18102.375,1,-1.7897150613908732,43.3337347728347,-1.8078777926453204,43.32939382832081,6.00045,2380.737,32.94343333333333,7.1404,6,45,69,PT
17,16:00,193,99,2,4,1,5,1,27788.81,4,-1.8206612496943035,43.32919179686959,-1.8006493835778767,43.34123781984271,6.991616666666667,2796.743,40.87206666666667,6.050800000000001,4,45,69,Car
18,15:00,181,23,1,2,2,4,1,25608.31,3,-1.7875290124122651,43.33740939101799,-1.8112696627140876,43.34506776818716,5.987316666666667,2858.842,42.243233333333336,8.6112,5,45,69,PT
19,19:00,229,22,2,3,1,5,1,25818.26,4,-1.7918275099009924,43.34033843069722,-1.7886838702701229,43.3617775294514,7.630283333333334,3361.414,54.93953333333333,5.313600000000001,4,45,69,Car
20,08:00,97,22,1,2,2,5,2,21281.2,1,-1.778090322796794,43.33995832426971,-1.8112696627140876,43.34506776818716,5.87245,3083.408,51.86996666666666,9.1448,3,45,69,PT
21,07:30,91,22,2,3,1,6,1,27085.56,4,-1.791275005277144,43.33996295870342,-1.7611890914839317,43.33958462329316,6.402150000000001,2900.211,47.06646666666666,7.305200000000001,4,45,69,Car
22,08:00,97,22,2,3,1,5,1,27465.11,4,-1.815876270011278,43.33865835021949,-1.7885325409975286,43.33875831908529,6.006883333333334,2402.892,41.73186666666666,6.9172,4,45,69,Car
23,17:15,208,22,2,3,2,5,1,22930.57,2,-1.7825460204618415,43.33775648764274,-1.8078777926453204,43.32939382832081,8.03585,3178.455,44.13895,8.873600000000001,2,45,69,Car
24,12:30,151,23,2,3,2,5,1,26172.61,4,-1.7883924818122163,43.3371724504494,-1.7611890914839317,43.33958462329316,6.462116666666666,2805.608,42.13308333333334,7.6592,2,45,69,Car
25,07:30,91,22,2,3,1,6,1,27085.56,4,-1.818917962242881,43.33413395537719,-1.8328644692042204,43.32606678706591,3.5480500000000004,1539.319,26.485216666666666,7.894400000000001,4,45,69,Andando
26,17:15,208,22,1,3,1,6,1,28637.91,4,-1.8182973157911435,43.33396493992669,-1.8006493835778767,43.34123781984271,4.637216666666666,1854.942,32.81025,6.398,3,45,69,Car
27,06:00,73,22,2,2,2,5,1,23805.46,2,-1.797197339237822,43.33495946629437,-1.814725457016428,43.32762339256333,4.436633333333333,1774.737,29.206266666666668,3.9548000000000005,2,45,69,Car
28,15:00,181,22,1,2,1,4,1,23983.52,3,-1.7938654591170975,43.34055125850232,-1.814725457016428,43.32762339256333,5.8671,2346.949,38.91236666666667,3.9176,1,45,69,Car
29,16:00,193,22,1,2,1,4,1,23828.42,3,-1.7977224607380813,43.34157627578091,-1.8180830663123928,43.33269622686494,5.592333333333333,2237.013,35.9548,6.829600000000001,3,45,69,Car
30,16:00,193,22,1,2,1,4,1,23828.42,3,-1.8048414635810015,43.33250176754093,-1.799932293020302,43.34875517727091,5.27335,2244.701,37.96658333333333,5.8588000000000005,3,45,69,Car
31,08:00,97,22,1,3,2,4,1,23720.86,2,-1.7701141549135324,43.340680018853234,-1.796674856846457,43.34107546283241,5.8726666666666665,2492.062,38.34796666666667,8.732800000000001,3,45,69,Car
32,15:00,181,22,1,2,1,4,1,23983.52,3,-1.7752145002762971,43.32755024278232,-1.7611890914839317,43.33958462329316,7.423649999999999,2969.53,44.27676666666667,12.866,1,45,69,PT
33,16:00,193,99,2,4,1,5,1,27788.81,4,-1.7870576194813683,43.34088364580707,-1.81321405197556,43.33561400264527,6.664966666666667,2995.866,44.42795,8.8856,4,45,69,Car
34,07:00,85,99,2,2,1,5,1,27890.81,4,-1.741354935708407,43.32200246419368,-1.7700358929106268,43.33985753585957,5.155666666666666,3838.011,63.602266666666665,18.8396,2,45,69,Car
35,06:45,82,22,2,3,1,5,1,25097.96,3,-1.808406077243951,43.33971700090647,-1.8328644692042204,43.32606678706591,6.752466666666667,2701.09,45.71821666666666,8.3976,4,45,69,Car
36,07:20,89,22,2,3,2,4,1,25255.96,3,-1.7871217323827526,43.33950606183837,-1.7886838702701229,43.3617775294514,7.869366666666666,3725.984,61.02421666666667,6.9104,4,45,69,Car
37,17:00,205,22,2,3,1,3,1,25010.085,3,-1.7654807999881057,43.3420301226752,-1.7885325409975286,43.33875831908529,4.642650000000001,2000.025,33.4058,4.2504,2,45,69,Car
38,10:00,121,23,2,1,2,3,2,18102.375,1,-1.790058907069857,43.33462129510582,-1.7611890914839317,43.33958462329316,7.037483333333333,3064.862,46.305683333333334,9.4264,6,45,69,PT
39,07:20,89,22,2,1,1,5,2,25523.66,3,-1.771161787099121,43.3235956646409,-1.7611890914839317,43.33958462329316,8.9697,3587.954,57.626083333333334,16.846,2,45,69,PT
40,17:00,205,22,2,3,1,3,1,25010.085,3,-1.7769058378986586,43.33710909592443,-1.8078777926453204,43.32939382832081,9.050783333333333,3584.452,53.17355,10.423200000000001,2,45,69,Car
41,07:20,89,22,2,1,1,5,2,25523.66,3,-1.825173875371476,43.32342267732832,-1.8078777926453204,43.32939382832081,4.1061000000000005,1642.496,29.410733333333333,8.690800000000001,2,45,69,Andando
